Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Michel Vorm,Goalkeeper,30,Swansea,Premier League,Spurs,Premier League,2014-2015,7000000,5690000
Michy Batshuayi,Centre-Forward,20,Standard Liege,Jupiler Pro League,Marseille,Ligue 1,2014-2015,8000000,6000000
Mirko Vucinic,Second Striker,30,Juventus,Serie A,Al-Jazira,UAE Pro-League,2014-2015,9000000,6300000
Mohamed Diame,Central Midfield,27,West Ham,Premier League,Hull City,Premier League,2014-2015,7000000,4400000
Muhamed Besic,Defensive Midfield,21,Ferencvaros,Hungarian NB I.,Everton,Premier League,2014-2015,2500000,4800000
Muriqui,Left Winger,28,GZ Evergrande,Chinese Super League,Al Sadd,Qatar Stars League,2014-2015,3500000,5900000
Nicolai Muller,Right Winger,26,1.FSV Mainz 05,1.Bundesliga,Hamburger SV,1.Bundesliga,2014-2015,7000000,4500000
Nicolas Lodeiro,Attacking Midfield,25,Corinthians,Campeonato Brasileiro Serie A,Boca Juniors,Argentine Primera Division,2014-2015,2000000,4920000
Nicolas Otamendi,Centre-Back,26,FC Porto,Liga NOS,Valencia CF,La Liga,2014-2015,12000000,12000000
Nuri Sahin,Defensive Midfield,25,Real Madrid,La Liga,Bor. Dortmund,1.Bundesliga,2014-2015,12000000,7000000
Odil Akhmedov,Defensive Midfield,26,Anzhi,Russian Premier League,Krasnodar,Premier Liga,2014-2015,6000000,4000000
Odion Ighalo,Centre-Forward,25,Udinese Calcio,Serie A,Watford,English Championship,2014-2015,2000000,8000000
Olcan Adin,Right Midfield,28,Trabzonspor,Super Lig,Galatasaray,Super Lig,2014-2015,9000000,4000000
Oliver Baumann,Goalkeeper,24,SC Freiburg,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,2014-2015,7000000,5500000
Omer Damari,Centre-Forward,25,Austria Vienna,Austrian Bundesliga,RB Leipzig,2.Bundesliga,2014-2015,2500000,7000000
Oscar Cardozo,Centre-Forward,31,Benfica,Liga NOS,Trabzonspor,Super Lig,2014-2015,9000000,5000000
Oumar Niasse,Centre-Forward,24,Akhisarspor,Super Lig,Loko Moscow,Premier Liga,2014-2015,4000000,5500000
Oussama Assaidi,Left Winger,26,Liverpool,Premier League,Al-Ahli (UAE),UAE Pro-League,2014-2015,5000000,6000000
Pablo Hernandez,Right Winger,29,Swansea,Premier League,Al Arabi,Qatar Stars League,2014-2015,8000000,5000000
Pajtim Kasami,Central Midfield,22,Fulham,English Championship,Olympiacos,Super League Souroti,2014-2015,3500000,5000000
Panagiotis Kone,Central Midfield,27,Bologna,Serie B,Udinese Calcio,Serie A,2014-2015,6000000,4500000
Pape Souare,Left-Back,24,LOSC Lille,Ligue 1,Crystal Palace,Premier League,2014-2015,3500000,5330000
Papu Gomez,Second Striker,26,Metalist,Premier Liga,Atalanta,Serie A,2014-2015,8000000,5000000
Paulinho,Centre-Forward,28,AS Livorno,Serie B,Al Arabi,Qatar Stars League,2014-2015,8500000,8000000
Pierre-Michel Lasogga,Centre-Forward,22,Hertha BSC,1.Bundesliga,Hamburger SV,1.Bundesliga,2014-2015,9000000,8500000
Quincy Promes,Left Winger,22,FC Twente,Eredivisie,Spartak Moscow,Premier Liga,2014-2015,3000000,11500000
Radja Nainggolan,Central Midfield,26,Cagliari Calcio,Serie A,AS Roma,Serie A,2014-2015,18000000,15000000
Raul Jimenez,Centre-Forward,23,America,Liga MX,Atletico Madrid,La Liga,2014-2015,10000000,10500000
Remy Cabella,Attacking Midfield,24,Montpellier,Ligue 1,Newcastle,Premier League,2014-2015,10000000,10000000
Ricardo Centurion,Left Winger,22,Racing Club,Argentine Primera Division,Sao Paulo,Campeonato Brasileiro Serie A,2014-2015,4000000,4200000
Ricardo Goulart,Second Striker,23,Cruzeiro,Campeonato Brasileiro Serie A,GZ Evergrande,Chinese Super League,2014-2015,11000000,15000000
Rickie Lambert,Centre-Forward,32,Southampton,Premier League,Liverpool,Premier League,2014-2015,5000000,5500000
Robert Snodgrass,Right Winger,26,Norwich,English Championship,Hull City,Premier League,2014-2015,5500000,7500000
Roberto,Goalkeeper,28,Atletico Madrid,La Liga,Olympiacos,Super League Souroti,2014-2015,6000000,6000000
Rodrigo de Paul,Right Winger,20,Racing Club,Argentine Primera Division,Valencia CF,La Liga,2014-2015,3500000,4800000
Romain Alessandrini,Left Winger,25,Stade Rennais,Ligue 1,Marseille,Ligue 1,2014-2015,7500000,5000000
Roman Eremenko,Attacking Midfield,27,Rubin Kazan,Premier Liga,CSKA Moscow,Premier Liga,2014-2015,13000000,5900000
Romarinho,Centre-Forward,23,Corinthians,Campeonato Brasileiro Serie A,El-Jaish,Qatar Stars League,2014-2015,2000000,7500000
Romelu Lukaku,Centre-Forward,21,Chelsea,Premier League,Everton,Premier League,2014-2015,25000000,35360000
Ross McCormack,Second Striker,27,Leeds,English Championship,Fulham,English Championship,2014-2015,2600000,11800000
Ryan Bertrand,Left-Back,25,Chelsea,Premier League,Southampton,Premier League,2014-2015,6000000,13340000
Sadio Mane,Left Winger,22,RB Salzburg,Austrian Bundesliga,Southampton,Premier League,2014-2015,7500000,23000000
Sammir,Attacking Midfield,27,Getafe CF,La Liga,JS Suning,Chinese Super League,2014-2015,3000000,5000000
Sandro,Defensive Midfield,25,Spurs,Premier League,QPR,Premier League,2014-2015,11000000,7500000
Sergio Asenjo,Goalkeeper,25,Atletico Madrid,La Liga,Villarreal CF,La Liga,2014-2015,5000000,5000000
Seydou Doumbia,Centre-Forward,27,CSKA Moscow,Premier Liga,AS Roma,Serie A,2014-2015,25000000,14400000
Shane Long,Centre-Forward,27,Hull City,Premier League,Southampton,Premier League,2014-2015,6000000,14900000
Shinji Kagawa,Attacking Midfield,25,Man Utd,Premier League,Bor. Dortmund,1.Bundesliga,2014-2015,15000000,8000000
Shkodran Mustafi,Centre-Back,22,Sampdoria,Serie A,Valencia CF,La Liga,2014-2015,7000000,8000000
Siem de Jong,Attacking Midfield,25,AFC Ajax,Eredivisie,Newcastle,Premier League,2014-2015,10000000,8700000
Sime Vrsaljko,Right-Back,22,Genoa,Serie A,Sassuolo,Serie A,2014-2015,7500000,5500000
Stefan de Vrij,Centre-Back,22,Feyenoord,Eredivisie,Lazio,Serie A,2014-2015,6000000,7000000
Stefano Sturaro,Central Midfield,21,Genoa,Serie A,Juventus,Serie A,2014-2015,3500000,9600000
Steven Caulker,Centre-Back,22,Cardiff,English Championship,QPR,Premier League,2014-2015,7500000,10750000
Steven Defour,Central Midfield,26,FC Porto,Liga NOS,RSC Anderlecht,Jupiler Pro League,2014-2015,6000000,6000000
Talisca,Attacking Midfield,20,EC Bahia,Campeonato Brasileiro Serie A,Benfica,Liga NOS,2014-2015,400000,4750000
Tarik Camdal,Right-Back,23,Eskisehirspor,Super Lig,Galatasaray,Super Lig,2014-2015,2700000,4750000
Thomas Vermaelen,Centre-Back,28,Arsenal,Premier League,FC Barcelona,La Liga,2014-2015,15000000,19000000
Tiemoue Bakayoko,Defensive Midfield,19,Stade Rennais,Ligue 1,Monaco,Ligue 1,2014-2015,1250000,8000000
Tin Jedvaj,Centre-Back,19,AS Roma,Serie A,Bay. Leverkusen,1.Bundesliga,2014-2015,6500000,7000000
Toni Kroos,Central Midfield,24,Bayern Munich ,1.Bundesliga,Real Madrid,La Liga,2014-2015,42000000,25000000
Vadis Odjidja-Ofoe,Central Midfield,25,Club Brugge,Jupiler Pro League,Norwich,English Championship,2014-2015,5000000,5000000
Valentin Stocker,Attacking Midfield,25,FC Basel,Swiss Super League,Hertha BSC,1.Bundesliga,2014-2015,7000000,4000000
Valon Behrami,Defensive Midfield,29,SSC Napoli,Serie A,Hamburger SV,1.Bundesliga,2014-2015,12000000,6000000
Vincent Aboubakar,Centre-Forward,22,FC Lorient,Ligue 1,FC Porto,Liga NOS,2014-2015,5500000,11200000
Vitorino Antunes,Left-Back,27,Malaga CF,La Liga,Dynamo Kyiv,Premier Liga,2014-2015,3000000,6000000
Wallace,Centre-Back,19,Cruzeiro,Campeonato Brasileiro Serie A,Braga,Liga NOS,2014-2015,100000,9500000
Wendell,Left-Back,20,Gremio,Campeonato Brasileiro Serie A,Bay. Leverkusen,1.Bundesliga,2014-2015,3000000,6500000
Wilfried Bony,Centre-Forward,26,Swansea,Premier League,Man City,Premier League,2014-2015,17000000,32300000
William Vainqueur,Defensive Midfield,25,Standard Liege,Jupiler Pro League,Dinamo Moscow,Premier Liga,2014-2015,6000000,6000000
Willy Caballero,Goalkeeper,32,Malaga CF,La Liga,Man City,Premier League,2014-2015,5000000,8000000
Xabi Alonso,Defensive Midfield,32,Real Madrid,La Liga,Bayern Munich ,1.Bundesliga,2014-2015,8000000,9000000
Yacine Brahimi,Left Winger,24,Granada CF,La Liga,FC Porto,Liga NOS,2014-2015,4000000,6500000
Yann Sommer,Goalkeeper,25,FC Basel,Swiss Super League,Bor. M'gladbach,1.Bundesliga,2014-2015,8000000,9000000
Aaron Lennon,Right Winger,28,Spurs,Premier League,Everton,Premier League,2015-2016,8500000,6000000
Abdoulaye Doucoure,Central Midfield,23,Stade Rennais,Ligue 1,Watford,Premier League,2015-2016,6000000,10600000
Abdul Rahman Baba,Left-Back,21,FC Augsburg,1.Bundesliga,Chelsea,Premier League,2015-2016,10000000,20000000
Adalberto Penaranda,Centre-Forward,18,Udinese Calcio,Serie A,Watford,Premier League,2015-2016,500000,10600000
Adama Traore,Right Winger,19,FC Barcelona B,La Liga 2,Aston Villa,Premier League,2015-2016,5000000,10000000
Adama Traore,Central Midfield,20,LOSC Lille,Ligue 1,Monaco,Ligue 1,2015-2016,1250000,14000000
Aderllan Santos,Centre-Back,26,Braga,Liga NOS,Valencia CF,La Liga,2015-2016,7500000,9500000
Admir Mehmedi,Second Striker,24,SC Freiburg,2.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,6000000,8000000
Alberto Grassi,Central Midfield,20,Atalanta,Serie A,SSC Napoli,Serie A,2015-2016,2000000,8000000
Alberto Paloschi,Centre-Forward,26,Chievo Verona,Serie A,Swansea,Premier League,2015-2016,6000000,9500000
Aleix Vidal,Right Winger,25,Sevilla FC,La Liga,FC Barcelona,La Liga,2015-2016,10000000,17000000
Aleksandar Mitrovic,Centre-Forward,20,RSC Anderlecht,Jupiler Pro League,Newcastle,Premier League,2015-2016,11000000,18500000
Alessio Romagnoli,Centre-Back,20,AS Roma,Serie A,AC Milan,Serie A,2015-2016,8500000,25000000
Alex Sandro,Left-Back,24,FC Porto,Liga NOS,Juventus,Serie A,2015-2016,20000000,26000000
Alex Teixeira,Attacking Midfield,26,Shakhtar D.,Premier Liga,JS Suning,Chinese Super League,2015-2016,30000000,50000000
Allan,Central Midfield,24,Udinese Calcio,Serie A,SSC Napoli,Serie A,2015-2016,11500000,11500000
Alvaro Negredo,Centre-Forward,29,Man City,Premier League,Valencia CF,La Liga,2015-2016,18000000,28000000
Andre Gomes,Central Midfield,21,Benfica,Liga NOS,Valencia CF,La Liga,2015-2016,20000000,20000000
Andre Gray,Centre-Forward,24,Brentford,English Championship,Burnley,English Championship,2015-2016,1000000,12400000
Andrea Belotti,Centre-Forward,21,US Palermo,Serie A,Torino,Serie A,2015-2016,5000000,8400000
Andrea Bertolacci,Central Midfield,24,AS Roma,Serie A,AC Milan,Serie A,2015-2016,15000000,20000000
Andrea Bertolacci,Central Midfield,24,Genoa,Serie A,AS Roma,Serie A,2015-2016,15000000,8500000
Andros Townsend,Right Winger,24,Spurs,Premier League,Newcastle,Premier League,2015-2016,8000000,15700000
Angel Di Maria,Right Winger,27,Man Utd,Premier League,Paris SG,Ligue 1,2015-2016,50000000,63000000
Angelo Ogbonna,Centre-Back,27,Juventus,Serie A,West Ham,Premier League,2015-2016,9000000,11000000
